epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,8844.59,0.55064,0.27576,0.85101,0.98653,0.92683,0.96597,0.69725,1.12484,0.43384,1.12499,0.002278,0.002278,0.002278
80,8957.03,0.54329,0.27465,0.85262,0.98681,0.92591,0.96563,0.69721,1.12661,0.43562,1.12612,0.002179,0.002179,0.002179
81,9073.27,0.53738,0.27295,0.85122,0.98671,0.92713,0.96572,0.69807,1.12525,0.43527,1.12649,0.00208,0.00208,0.00208
82,9184.22,0.52808,0.2695,0.8487,0.98542,0.92704,0.96602,0.69801,1.12615,0.43491,1.12775,0.001981,0.001981,0.001981
83,9295.81,0.51975,0.26576,0.84327,0.98494,0.92744,0.96561,0.69806,1.1272,0.43646,1.12882,0.001882,0.001882,0.001882
84,9408.95,0.51311,0.2642,0.84016,0.98016,0.9311,0.96536,0.69788,1.13057,0.43767,1.13225,0.001783,0.001783,0.001783
85,9524.3,0.50839,0.26328,0.84181,0.98137,0.93137,0.96508,0.69682,1.13203,0.43836,1.13278,0.001684,0.001684,0.001684
86,9637.63,0.50208,0.26068,0.83751,0.98106,0.93179,0.965,0.69673,1.13251,0.43663,1.13457,0.001585,0.001585,0.001585
87,9752.24,0.49288,0.25779,0.83169,0.98132,0.93079,0.9652,0.69622,1.13312,0.43728,1.13704,0.001486,0.001486,0.001486
88,9859.77,0.48164,0.25441,0.83316,0.98321,0.92835,0.96476,0.69535,1.13498,0.43779,1.13946,0.001387,0.001387,0.001387
89,9973.61,0.47809,0.25217,0.82951,0.98383,0.92713,0.9651,0.69604,1.13568,0.43844,1.14122,0.001288,0.001288,0.001288
90,10090.1,0.47341,0.24868,0.82992,0.98322,0.92918,0.96499,0.69576,1.13655,0.43832,1.14253,0.001189,0.001189,0.001189
91,10198.6,0.4646,0.24838,0.8306,0.98461,0.92957,0.96517,0.69553,1.13772,0.4392,1.14475,0.00109,0.00109,0.00109
92,10306.2,0.45897,0.24559,0.82767,0.98596,0.92896,0.96528,0.69541,1.13818,0.43931,1.14593,0.000991,0.000991,0.000991
93,10412.5,0.44944,0.24236,0.82435,0.98714,0.92835,0.96526,0.6954,1.13915,0.43972,1.14725,0.000892,0.000892,0.000892
94,10521.9,0.44674,0.24048,0.8234,0.98734,0.92765,0.96521,0.69558,1.13977,0.43974,1.14812,0.000793,0.000793,0.000793
95,10628.6,0.44147,0.2385,0.82295,0.98735,0.92823,0.9652,0.69565,1.13965,0.44012,1.14954,0.000694,0.000694,0.000694
96,10736.6,0.43615,0.2375,0.82166,0.98736,0.92865,0.96511,0.69547,1.13982,0.4399,1.15044,0.000595,0.000595,0.000595
97,10849,0.42836,0.23393,0.81869,0.98719,0.92896,0.965,0.69572,1.14049,0.44004,1.15176,0.000496,0.000496,0.000496
98,10962.5,0.42286,0.23341,0.81798,0.98723,0.92896,0.96516,0.69508,1.1408,0.44072,1.15315,0.000397,0.000397,0.000397
99,11075.2,0.41656,0.22956,0.81655,0.98743,0.92896,0.96531,0.69511,1.14089,0.44057,1.1541,0.000298,0.000298,0.000298
100,11183.7,0.41126,0.2284,0.81682,0.98736,0.92904,0.96555,0.69503,1.14115,0.44094,1.1549,0.000199,0.000199,0.000199
